,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,RESUMEN CLIMATOLÓGICO Y ESTADÍSTICA MENSUAL,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,PRECIPIT. 18 UTC MES ANTERIOR,,,,,,,
,,,,,ESTACIÓN,,FARO PUNTA ANGELES,,,MES/AÑO,,,OCTUBRE 2015,,,,,,,,,,PRECIPIT. 24 UTC MES ANTERIOR,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,VIENTO,,TEMPERATURAS,,,,,PRESION,FENOMENO,NUBES,,,,MAR DE VIENTO,,MAR DE FONDO,,,MAR ,HR,RACHAS,,PLUVIO,PP.,EVAPO,HORAS
,DIA,UTC,VIS,NUB,DIR,INT,T° SEC,T° ROC,Tº HUM,Tº MAR,T° EXTR,P° MAR,,BAJAS,ALTURA,MEDIAS,ALTAS,PRDO,ALT,DIR,PRDO,ALT,TEXTO CLARO,,DIR,INT,MM,12 UTC,RACIÓN,SOL
,01,03,10,NUB,030,05,"13,5","12,6","13,0",,,"1013,5",,ST,300,,,00,"0,0",250,10,"1,0",RIZADA,095,,,,,,
,01,06,10,NUB,070,10,"13,6","11,9","12,6",,,"1012,5",,ST,360,,,00,"0,0",250,10,"1,0",RIZADA,089,,,"0,1",,,
,01,09,4,NUB,330,10,"13,6","12,9","13,2",,,"1013,0",LLUVIA,SC,180,AC,,02,"0,5",250,10,"1,5",MAREJADA,096,,,,,,
,01,12,4,NUB,180,12,"12,0","11,3","11,6",,"12,0","1015,2",LLUVIA,SC,180,AC,,02,"0,5",270,10,"1,5",MAREJADA,096,230,180,"4,7",,001,
,01,15,2,NUB,050,11,"12,9","11,3","12,0",,,"1018,0",LLUVIA,,,AC,,02,"0,5",280,11,"1,5",MAREJADA,090,,,,,,
,01,18,4,NUB,000,00,"13,5","12,3","12,8",,,"1018,0",LLUVIA,SC,240,AC,,02,"0,5",280,11,"2,0",MAREJADA,093,,,"10,5",,,
,01,21,4,NUB,000,00,"13,4","12,0","12,6",,,"1018,5",LLUVIA,,,,AC,02,"0,5",280,10,"2,5",MAREJADA,091,,,,,,
,01,24,10,PARC,000,00,"12,6","11,7","12,1",,"14,5","1019,5",,,,,,02,"0,5",280,10,"2,5",MAREJADA,094,,,"1,0",,,00
,02,03,10,DESP,000,00,"11,8","10,7","11,2",,,"1021,0",,,,,,02,"0,5",280,10,"2,5",MAREJADA,093,,,,,,
