,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,RESUMEN CLIMATOLÓGICO Y ESTADÍSTICA MENSUAL,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,PRECIPIT. 18 UTC MES ANTERIOR,,,,,,,
,,,,,ESTACIÓN,,VALPARAISO,,,MES/AÑO,,,MARZO 2015,,,,,,,,,,PRECIPIT. 24 UTC MES ANTERIOR,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,VIENTO,,TEMPERATURAS,,,,,PRESION,FENOMENO,NUBES,,,,MAR DE VIENTO,,MAR DE FONDO,,,MAR ,HR,RACHAS,,PLUVIO,PP.,EVAPO,HORAS
,DIA,UTC,VIS,NUB,DIR,INT,T° SEC,T° ROC,Tº HUM,Tº MAR,T° EXTR,P° MAR,,BAJAS,ALTURA,MEDIAS,ALTAS,PRDO,ALT,DIR,PRDO,ALT,TEXTO CLARO,,DIR,INT,MM,12 UTC,RACIÓN,SOL
,01,03,10,0,210,08,"17,9","15,0","16,1",,,"1018,0",,,,,,00,"0,0",240,12,"1,0",MAREJADILLA,083,,,,,,
,01,06,10,0,100,03,"16,4","14,3","15,1",,,"1017,6",,,,,,00,"0,0",240,12,"1,0",MAREJADILLA,087,,,,,,
,01,09,10,0,000,00,"15,6","13,6","14,4",,,"1016,8",,,,,,00,"0,0",240,12,"1,0",MAREJADILLA,088,,,,,,
,01,12,10,0,100,03,"15,9","13,4","14,4",,"14,9","1017,0",,,,,,00,"0,0",240,12,"1,0",MAREJADILLA,085,,,,,002,
,01,15,10,0,240,09,"20,1","15,2","17,0",,,"1017,2",,,,,,00,"0,0",240,11,"1,0",MAREJADILLA,073,,,,,,
,01,18,10,0,240,20,"21,4","15,4","17,6",,,"1016,0",,,,,,03,"0,5",240,12,"1,0",MAREJADILLA,068,,,,,,
,01,21,10,0,240,12,"21,8","13,7","16,8",,,"1014,8",,,,,,03,"1,0",240,12,"1,5",MAREJADA,060,,,,,,
,01,24,10,0,240,10,"19,6","14,1","16,2",,"22,7","1014,2",,,,,,01,"0,5",240,11,"1,5",MAREJADA,070,,,,,,11
,02,03,10,0,010,03,"17,2","14,9","15,5",,,"1014,5",,,,,,00,"0,0",240,11,"1,0",MAREJADILLA,086,,,,,,
,02,06,10,0,000,00,"15,6","13,3","14,2",,,"1013,8",,,,,,00,"0,0",240,11,"1,0",MAREJADILLA,086,,,,,,
