,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,RESUMEN CLIMATOLÓGICO Y ESTADÍSTICA MENSUAL,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,PRECIPIT. 18 UTC MES ANTERIOR,,,,,,,
,,,,,ESTACIÓN,,VALPARAISO,,,MES/AÑO,,,AGOSTO 2015,,,,,,,,,,PRECIPIT. 24 UTC MES ANTERIOR,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,VIENTO,,TEMPERATURAS,,,,,PRESION,FENOMENO,NUBES,,,,MAR DE VIENTO,,MAR DE FONDO,,,MAR ,HR,RACHAS,,PLUVIO,PP.,EVAPO,HORAS
,DIA,UTC,VIS,NUB,DIR,INT,T° SEC,T° ROC,Tº HUM,Tº MAR,T° EXTR,P° MAR,,BAJAS,ALTURA,MEDIAS,ALTAS,PRDO,ALT,DIR,PRDO,ALT,TEXTO CLARO,,DIR,INT,MM,12 UTC,RACIÓN,SOL
,01,03,10,8,000,00,"12,3","11,1","11,6",,,"1019,5",,,,As (1),,00,"0,0",240,12,"1,5",MAREJADA,092,,,,,,
,01,06,10,6,030,03,"11,6","10,5","11,0",,,"1018,5",,,,,CC,00,"0,0",270,10,"3,0",GRUESA CON ROMPIENTE,093,,,,,,
,01,09,10,2,060,06,"11,8","5,9","8,8",,,"1017,8",,,,,CS,00,"0,0",270,10,"2,5",MAREJADA CON ROMPIENTE,067,,,,,,
,01,12,10,6,000,00,"9,5","7,4","8,4",,"9,5","1018,8",,,,Ac(5) ,Cc(9),00,"0,0",260,11,"1,5",MAREJADA,087,,,,,002,
,01,15,10,0,030,04,"14,0","10,1","11,8",,,"1019,5",,,,,Cc(9),00,"0,0",260,11,"1,5",MAREJADA,077,,,,,,
,01,18,10,4,300,05,"15,0","12,1","13,3",,,"1019,0",,,,Ac(5) ,,00,"0,0",260,11,"1,5",MAREJADA,083,,,,,,
,01,21,10,7,030,04,"14,1","10,4","12,0",,,"1018,0",,,,Ac(5) ,,00,"0,0",260,11,"1,5",MAREJADA,078,,,,,,
,01,24,10,8,030,06,"13,1","10,8","11,8",,"15,7","1019,0",,,,AS(2),,00,"0,0",260,11,"1,5",MAREJADA,086,,,,,,05
,02,03,4,8,050,05,"13,9","12,2","12,9",,,"1020,0",LLUVIA (60),NS(2),450,,,00,"0,0",260,11,"1,5",MAREJADA,089,,,,,,
