,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,PRECIPIT. 18 UTC MES ANTERIOR,,,,,,,
,,,,,ESTACIÓN,,FARO PUNTA ANGELES,,,MES/AÑO,,,DICIEMBRE 2015,,,,,,,,,,PRECIPIT. 24 UTC MES ANTERIOR,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,VIENTO,,TEMPERATURAS,,,,,PRESION,FENOMENO,NUBES,,,,MAR DE VIENTO,,MAR DE FONDO,,,MAR ,HR,RACHAS,,PLUVIO,PP.,EVAPO,HORAS
,DIA,UTC,VIS,NUB,DIR,INT,T° SEC,T° ROC,Tº HUM,Tº MAR,T° EXTR,P° MAR,,BAJAS,ALTURA,MEDIAS,ALTAS,PRDO,ALT,DIR,PRDO,ALT,TEXTO CLARO,,DIR,INT,MM,12 UTC,RACIÓN,SOL
,01,03,4,CUB,160,04,"15,6","13,9","14,6",,,"1015,0",NEBLINA,ST,600,,,02,"0,5",240,12,"1,0",MAREJADILLA,090,,,,,,
,01,06,4,CUB,160,10,"13,6","12,6","13,0",,,"1014,0",LLOVIZNA,ST,300,,,02,"0,5",240,12,"1,0",MAREJADILLA,094,160,20,,,,
,01,09,4,CUB,190,10,"13,4","11,3","12,2",,,"1014,0",NEBLINA,ST,300,,,02,"0,5",240,12,"1,0",MAREJADILLA,087,,,,,,
,01,12,4,CUB,180,04,"14,5","12,6","13,4",,"13,4","1014,0",NEBLINA,ST,450,,,02,"0,5",240,12,"1,0",MAREJADILLA,089,,,,,002,
,01,15,10,CUB,200,08,"16,2","13,4","14,5",,,"1014,0",,ST,600,,,02,"5,0",240,10,"1,0",MAREJADILLA,083,,,,,,
,01,18,10,NUB,190,08,"17,8","13,5","15,2",,,"1013,0",,ST,660,,,02,"0,5",240,12,"1,0",MAREJADILLA,076,,,,,,
,01,21,10,DESP,190,14,"18,0","13,4","15,2",,,"1012,5",,,,,,02,"0,5",240,08,"2,0",MAREJADA,075,,,,,,
