,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,RESUMEN CLIMATOLÓGICO Y ESTADÍSTICA MENSUAL,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,PRECIPIT. 18 UTC MES ANTERIOR,,,,,,,
,,,,,ESTACIÓN,,VALPARAÍSO,,,MES / AÑO,,,JULIO 2015,,,,,,,,,,PRECIPIT. 24 UTC MES ANTERIOR,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,VIENTO,,TEMPERATURAS,,,,,PRESION,FENOMENO,NUBES,,,,MAR DE VIENTO,,MAR DE FONDO,,,MAR ,HR,RACHAS,,PLUVIO,PP.,EVAPO,HORAS
,DIA,UTC,VIS,NUB,DIR,INT,T° SEC,T° ROC,Tº HUM,Tº MAR,T° EXTR,P° MAR,,BAJAS,ALTURA,MEDIAS,ALTAS,PRDO,ALT,DIR,PRDO,ALT,TEXTO CLARO,,DIR,INT,MM,12 UTC,RACIÓN,SOL
,01,03,10,6,000,00,"10,2","7,9","9,0",,,"1017,5",,,,,CC(9),00,"0,0","240,0",11,"1,0",MAREJADILLA,086,,,,,,
,01,06,10,7,080,08,"10,4","6,5","8,4",,,"1016,6",,,,AC(3),,00,"0,0","240,0",11,"1,0",MAREJADILLA,077,,,,,,
,01,09,10,7,050,03,"10,4","7,9","9,1",,,"1016,5",,,,AC(3),,00,"0,0","250,0",11,"1,5",MAREJADA,085,,,,,,
,01,12,10,8,000,00,"11,0","9,7","10,3",,"9,6","1017,9",,ST(6),300,,,00,"0,0","250,0",11,"1,0",MAREJADILLA,092,,,,,002,
,01,15,10,8,060,04,"11,6","9,8","10,6",,,"1019,0",,SC(5),,,,00,"0,0","240,0",11,"1,0",MAREJADILLA,089,,,,,,
,01,18,10,5,210,07,"13,7","10,7","12,0",,,"1017,8",,,,,,00,"0,0","240,0",11,"1,0",MAREJADILLA,072,,,,,,
,01,21,10,5,000,00,"13,2","10,7","11,8",,,"1017,0",,,,AC(3),CI(4),00,"0,0","240,0",11,"1,0",MAREJADILLA,085,,,,,,
,01,24,10,5,060,05,"11,9","10,1","10,9",,"13,7","1017,2",,,,AC(3),,00,"0,0","240,0",11,"1,0",MAREJADILLA,089,,,,,,02
,02,03,10,4,000,00,"10,7","9,2","9,9",,,"1018,0",,,,AC(3),,00,"0,0","240,0",11,"1,0",MAREJADILLA,091,,,,,,
