,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,RESUMEN CLIMATOLÓGICO Y ESTADÍSTICA MENSUAL,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,PRECIPIT. 18 UTC MES ANTERIOR,,,,,,,
,,,,,ESTACIÓN,,CENMETEOVALP,,,MES/AÑO,,,,,,,,,,,,,PRECIPIT. 24 UTC MES ANTERIOR,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,VIENTO,,TEMPERATURAS,,,,,PRESION,FENOMENO,NUBES,,,,MAR DE VIENTO,,MAR DE FONDO,,,MAR ,HR,RACHAS,,PLUVIO,PP.,EVAPO,HORAS
,DIA,UTC,VIS,NUB,DIR,INT,T° SEC,T° ROC,Tº HUM,Tº MAR,T° EXTR,P° MAR,,BAJAS,ALTURA,MEDIAS,ALTAS,PRDO,ALT,DIR,PRDO,ALT,TEXTO CLARO,,DIR,INT,MM,12 UTC,RACIÓN,SOL
,01,03,10,0,000,00,"12,6","11,2","11,8",,,"1015,0",,,,,,02,"0,5",260,10,"3,0",GRUESA CON RIMPIENTE,091,,,,,,
,01,06,10,5,100,05,"13,2","11,4","12,2",,,"1015,0",,SC(5),390,,,02,"0,5",260,08,"3,5",GRUESA CON ROMPIENTE,093,,,,,,
,01,09,10,0,000,00,"12,7","11,5","12,0",,,"1015,0",,,,,,00,"0,0",260,09,"3,5",GRUESA CON ROMPIENTE,092,,,,,,
,01,12,10,8,090,04,"13,4","12,0","12,6",,"12,6","1015,8",,ST (6),450,,,00,"0,0",260,11,"3,0",GRUESA CON RIMPIENTE,091,,,,,000,
,01,15,9,7,080,04,"14,6","13,2","12,2",,,"1017,4",NEBLINA(10),SC(4),450,AC(7),,00,"0,0",260,11,"3,5",GRUESA CON RIMPIENTE,086,,,,,,
,01,18,9,8,270,04,"16,5","13,5","14,7",,,"1016,2",NEBLINA(10),,,AC(5),,00,"0,0",250,11,"3,0",GRUESA CON RIMPIENTE,083,,,,,,
,01,21,10,7,240,10,"15,3","12,8","13,8",,,"1016,1",,,,AC(3),,02,"0,5",260,11,"3,5",GRUESA CON RIMPIENTE,085,,,,,,
,01,24,10,8,250,06,"14,3","13,3","13,7",,"17,0","1017,0",,ST (6),600,,,00,"0,0",260,11,"3,0",GRUESA,094,,,,,,00
,02,03,10,7,040,05,"14,3","13,1","13,6",,,"1018,1",,ST (6),510,AC(5),,00,"0,0",260,10,"3,0",GRUESA,093,,,,,,
