,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,RESUMEN CLIMATOLÓGICO Y ESTADÍSTICA MENSUAL,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,PRECIPIT. 18 UTC MES ANTERIOR,,,,,,,
,,,,,ESTACIÓN,,FARO PUNTA ANGELES,,,MES/AÑO,,,2015,,,,,,,,,,PRECIPIT. 24 UTC MES ANTERIOR,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,VIENTO,,TEMPERATURAS,,,,,PRESION,FENOMENO,NUBES,,,,MAR DE VIENTO,,MAR DE FONDO,,,MAR ,HR,RACHAS,,PLUVIO,PP.,EVAPO,HORAS
,DIA,UTC,VIS,NUB,DIR,INT,T° SEC,T° ROC,Tº HUM,Tº MAR,T° EXTR,P° MAR,,BAJAS,ALTURA,MEDIAS,ALTAS,PRDO,ALT,DIR,PRDO,ALT,TEXTO CLARO,,DIR,INT,MM,12 UTC,RACIÓN,SOL
,01,03,10,DESP,040,06,"12,5","10,2","11,2",,,"1018,2",,,,,,00,"0,0","240,0",12,"1,0",RIZADA,086,,,,,,
,01,06,10,DESP,000,00,"12,0","10,2","11,0",,,"1018,5",,,,,,00,"0,0","240,0",12,"1,0",RIZADA,088,,,,,,
,01,09,10,NUB,000,00,"11,8","9,6","10,6",,,"1017,5",,ST,600,,,00,"0,0","240,0",12,"1,0",RIZADA,086,,,,,,
,01,12,10,CUB,000,00,"12,6","11,4","11,9",,"11,8","1018,8",,ST,450,,,01,"0,5","250,0",10,"1,0",RIZADA,092,,,,,004,
,01,15,10,PARC,000,00,"15,7","10,0","12,5",,,"1019,0",,ST,330,,,00,"0,0","240,0",12,"1,0",RIZADA,069,,,,,,
,01,18,10,DESP,300,08,"16,4","12,0","13,8",,,"1018,3",,,,,,02,"0,5","240,0",13,"1,0",RIZADA,075,,,,,,
,01,21,10,PARC,260,05,"16,4","12,2","13,9",,,"1017,0",,ST,900,,CI,02,"0,5","250,0",10,"1,0",RIZADA,076,,,,,,
,01,24,10,NUB,240,04,"13,7","10,1","11,7",,"17,0","1016,5",,ST,900,,,01,"0,5","250,0",11,"1,0",RIZADA,079,,,,,,08
,02,03,10,CUB,200,06,"14,3","10,8","12,3",,,"1016,9",,ST,450,,,02,"0,5","250,0",10,"1,0",RIZADA,079,,,,,,
,02,06,10,CUB,180,08,"13,7","11,4","12,4",,,"1016,0",,SC,450,,,02,"0,5","250,0",11,"1,0",RIZADA,086,,,,,,
