,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,RESUMEN CLIMATOLÓGICO Y ESTADÍSTICA MENSUAL,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,PRECIPIT. 18 UTC MES ANTERIOR,,,,,,,
,,,,,ESTACIÓN,,CENMETEOVALP,,,MES/AÑO,,ABRIL,,,,,,,,,,,PRECIPIT. 24 UTC MES ANTERIOR,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,VIENTO,,TEMPERATURAS,,,,,PRESION,FENOMENO,NUBES,,,,MAR DE VIENTO,,MAR DE FONDO,,,MAR ,HR,RACHAS,,PLUVIO,PP.,EVAPO,HORAS
,DIA,UTC,VIS,NUB,DIR,INT,T° SEC,T° ROC,Tº HUM,Tº MAR,T° EXTR,P° MAR,,BAJAS,ALTURA,MEDIAS,ALTAS,PRDO,ALT,DIR,PRDO,ALT,TEXTO CLARO,,DIR,INT,MM,12 UTC,RACIÓN,SOL
,01,03,10,0,000,00,"16,6","14,3","15,2",,,"1016,0",,,,,,00,"0,0","250,0",12,"1,5",MAREJADA,086,,,,,,
,01,06,10,0,090,03,"15,5","12,6","13,8",,,"1016,0",,,,,,00,"0,0","250,0",11,"1,5",MAREJADA,083,,,,,,
,01,09,10,0,100,03,"14,2","12,1","13,0",,,"1015,0",,,,,,00,"0,0","240,0",12,"1,5",MAREJADA,087,,,,,,
,01,12,10,0,000,00,"14,1","12,7","13,3",,"13,8","1016,0",,,,,,00,"0,0","250,0",09,"1,5",MAREJADA,091,,,,,005,
,01,15,10,0,340,03,"18,0","14,6","15,9",,,"1017,0",,,,,,00,"0,0","240,0",10,"1,5",MAREJADA,081,,,,,,
,01,18,10,0,240,08,"21,5","12,2","15,9",,,"1015,5",,,,,,02,"0,5","240,0",10,"1,5",MAREJADA,056,,,,,,
,01,21,10,0,240,13,"22,1","9,3","14,7",,,"1013,5",,,,,,02,"0,5","240,0",10,"1,5",MAREJADA,044,,,,,,
,01,24,10,0,240,10,"19,0","8,7","13,2",,"22,6","1015,1",,,,,,02,"0,5","240,0",10,"2,0",MAREJADA,051,,,,,,10
,02,03,10,0,250,05,"15,9","13,4","14,4",,,"1015,9",,,,,,00,"0,0","240,0",11,"2,0",MAREJADA,085,,,,,,
,02,06,10,0,000,00,"13,9","10,3","11,9",,,"1015,0",,,,,,00,"0,0","240,0",12,"1,0",MAREJADILLA,079,,,,,,
