,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,RESUMEN CLIMATOLÓGICO Y ESTADÍSTICA MENSUAL,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,PRECIPIT. 18 UTC MES ANTERIOR,,,,,,,
,,,,,ESTACIÓN,,VALPARAÍSO,,,MES / AÑO,,,FEBRERO 2015,,,,,,,,,,PRECIPIT. 24 UTC MES ANTERIOR,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,VIENTO,,TEMPERATURAS,,,,,PRESION,FENOMENO,NUBES,,,,MAR DE VIENTO,,MAR DE FONDO,,,MAR ,HR,RACHAS,,PLUVIO,PP.,EVAPO,HORAS
,DIA,UTC,VIS,NUB,DIR,INT,T° SEC,T° ROC,Tº HUM,Tº MAR,T° EXTR,P° MAR,,BAJAS,ALTURA,MEDIAS,ALTAS,PRDO,ALT,DIR,PRDO,ALT,TEXTO CLARO,,DIR,INT,MM,12 UTC,RACIÓN,SOL
,01,03,10,0,160,02,"15,5","13,3","14,2",,,"1013,0",,,,,,00,"0,0","250,0",12,"2,0",MAREJADA ROMPIENTE,087,,,,,,
,01,06,10,4,020,03,"14,4","13,4","13,8",,,"1012,5",,Sc(5),600,,,00,"0,0","240,0",11,"2,0",MAREJADA ROMPIENTE,094,,,,,,
,01,09,10,8,020,02,"14,4","13,4","1,8",,,"1013,0",,Sc(5),600,,,00,"0,0","240,0",11,"2,0",MAREJADA,094,,,,,,
,01,12,10,8,050,02,"15,1","13,6","14,2",,"14,0","1014,9",,Sc(5),390,,,00,"0,0","240,0",12,"2,0",MAREJADA,091,,,,,001,
,01,15,10,8,060,03,"17,6","14,0","15,4",,,"1016,0",,Sc(5),450,,,01,"0,5","240,0",12,"2,0",MAREJADA,080,,,,,,
,01,18,10,0,240,11,"19,8","15,0","16,8",,,"1015,5",,,,,,01,"0,5","240,0",10,"1,5",MAREJADA,074,,,,,,
,01,21,10,0,220,23,"18,4","14,2","15,8",,,"1013,0",,,,,,01,"0,5","240,0",10,"1,5",MAREJADA,076,,,,,,
,01,24,10,0,110,02,"18,2","14,6","16,0",,"20,0","1012,5",,,,,,01,"0,5","240,0",12,"2,0",MAREJADA ROMPIENTE,080,,,,,,08
,02,03,10,0,000,00,"15,6","14,3","14,8",,,"1012,0",,,,,,01,"0,5","240,0",12,"1,5",MAREJADA ROMPIENTE,092,,,,,,
